species,species_id,individual-local-identifier,date,daily_dist_km,avg_speed_kmh,max_speed_kmh,pct_migrating
Barn Swallow,2,H987,2014-08-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-05-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-05-02,100.01988557255827,4.183570739369993,4.434548168784252,0.0
Barn Swallow,2,H987,2014-09-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-08-08,50.037716990051415,2.2721465838065726,4.544293167613145,0.0
Barn Swallow,2,H976,2014-06-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-08,53.44927347428343,2.1415186889229463,3.9965495305954257,0.0
Barn Swallow,2,H978,2014-08-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-03-31,327.7126253522366,13.749891544053579,15.187881513748577,50.0
Barn Swallow,2,H992,2014-05-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-01,50.073110332523925,2.3852541508599003,4.770508301719801,0.0
Barn Swallow,2,H988,2014-09-08,150.42477239137088,6.437280809276331,8.911965787535191,0.0
Barn Swallow,2,H987,2014-05-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-06-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-02-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-06-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-09-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-01-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-03-27,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-03-31,50.08450899794735,2.178060839223629,4.356121678447258,0.0
Barn Swallow,2,H987,2014-09-28,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-05-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-01-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-05-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-06-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-04-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-07-26,61.31534362380852,2.62074937721975,5.2414987544395,0.0
Barn Swallow,2,H976,2014-02-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-04-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-04-29,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-09-14,250.18858495025714,10.534233762160783,13.078590113566158,0.0
Barn Swallow,2,H988,2014-08-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-03-27,100.07543398010264,4.202048379975009,4.39537811200215,0.0
Barn Swallow,2,H987,2014-05-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-04-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-05-26,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-05-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-05-01,100.07543398010283,4.147769199992797,4.328314218948173,0.0
Barn Swallow,2,H976,2014-07-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-02-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-05-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-02-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-04-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-09-20,1.0338642812645638,0.04122631161444871,0.08245262322889742,0.0
Barn Swallow,2,H976,2014-06-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-02-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-07-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-09-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-06-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-08-19,50.0377169900515,2.247034667617012,4.494069335234024,0.0
Barn Swallow,2,H976,2014-07-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-08-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-03-28,5.2310583943542115,0.21416537969827604,0.3366806304145269,0.0
Barn Swallow,2,H992,2014-03-08,9.744085491026564,0.4461005083723605,0.8182577020067663,0.0
Barn Swallow,2,H978,2014-08-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-09-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-26,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-08-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-08-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-02-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-08-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-05-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-07-14,15.375630537821998,0.6415669520540417,0.6527698232954289,0.0
Barn Swallow,2,H974,2014-07-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-02-11,14.143002958422336,0.7304012545234465,1.460802509046893,0.0
Barn Swallow,2,H980,2014-08-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-03-06,560.7986054756508,21.792558897651425,38.10175127008901,50.0
Barn Swallow,2,H980,2014-03-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-07-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-05-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-06-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-06-20,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-02-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-02-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-05-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-09-14,3.3025682391359292,0.1444903706782527,0.2889807413565054,0.0
Barn Swallow,2,H989,2014-07-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-10-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-05-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-08-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-09-01,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-04-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-05-23,50.628258893199636,1.9318437667258674,3.863687533451735,0.0
Barn Swallow,2,H992,2014-09-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-04-07,418.9236555361781,16.8989993890584,24.728631082809923,50.0
Barn Swallow,2,H978,2014-07-20,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-06-01,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-05-29,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-01-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-05-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-02-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-08-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-10-08,1153.2894916753921,44.782325310158484,75.44039086304268,50.0
Barn Swallow,2,H988,2014-04-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-01-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-05-29,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-05-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-08-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-01-28,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-08-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-02-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-05-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-08-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-04-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-04-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-04-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-03-25,1070.1050823814965,44.22592558140738,52.87206074897842,100.0
Barn Swallow,2,H978,2014-06-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-03-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-10-07,0.0,0.0,0.0,0.0
