species,species_id,colour,region_name,region_code,continent_name,season,season_label,season_pop_pct,peak_pop_pct,range_days_occupation,max_week
Grey Plover,1,#e8a87c,Iran,IRN,Asia,nonbreeding,Non-breeding,1.042,1.401,98,2023-12-20
Grey Plover,1,#e8a87c,Iran,IRN,Asia,postbreeding_migration,Post-breeding Migration,0.581,1.291,140,2023-11-29
Grey Plover,1,#e8a87c,Iran,IRN,Asia,prebreeding_migration,Pre-breeding Migration,0.461,0.818,91,2023-03-15
Grey Plover,1,#e8a87c,Iraq,IRQ,Asia,breeding,Breeding,0.017,0.045,0,2023-06-14
Grey Plover,1,#e8a87c,Iraq,IRQ,Asia,nonbreeding,Non-breeding,0.043,0.101,21,2023-03-01
Grey Plover,1,#e8a87c,Iraq,IRQ,Asia,postbreeding_migration,Post-breeding Migration,0.037,0.122,49,2023-09-27
Grey Plover,1,#e8a87c,Iraq,IRQ,Asia,prebreeding_migration,Pre-breeding Migration,0.045,0.093,77,2023-04-05
Grey Plover,1,#e8a87c,Israel,ISR,Asia,breeding,Breeding,0.013,0.029,14,2023-07-12
Grey Plover,1,#e8a87c,Israel,ISR,Asia,nonbreeding,Non-breeding,0.017,0.034,98,2023-12-13
Grey Plover,1,#e8a87c,Italy,ITA,Europe,nonbreeding,Non-breeding,1.04,2.534,98,2023-01-04
Grey Plover,1,#e8a87c,Italy,ITA,Europe,postbreeding_migration,Post-breeding Migration,0.509,1.824,126,2023-11-29
Grey Plover,1,#e8a87c,Italy,ITA,Europe,prebreeding_migration,Pre-breeding Migration,0.158,0.418,84,2023-03-15
Grey Plover,1,#e8a87c,Jamaica,JAM,North America,nonbreeding,Non-breeding,0.032,0.075,98,2023-03-08
Grey Plover,1,#e8a87c,Jamaica,JAM,North America,postbreeding_migration,Post-breeding Migration,0.024,0.073,105,2023-11-29
Grey Plover,1,#e8a87c,Jamaica,JAM,North America,prebreeding_migration,Pre-breeding Migration,0.011,0.051,70,2023-03-15
Grey Plover,1,#e8a87c,Japan,JPN,Asia,nonbreeding,Non-breeding,1.036,1.795,98,2023-03-08
Grey Plover,1,#e8a87c,Japan,JPN,Asia,postbreeding_migration,Post-breeding Migration,1.346,2.715,133,2023-08-30
Grey Plover,1,#e8a87c,Japan,JPN,Asia,prebreeding_migration,Pre-breeding Migration,0.921,2.747,77,2023-03-29
Grey Plover,1,#e8a87c,Kazakhstan,KAZ,Asia,prebreeding_migration,Pre-breeding Migration,0.185,0.187,21,2023-05-03
Grey Plover,1,#e8a87c,Kenya,KEN,Africa,breeding,Breeding,0.754,1.086,35,2023-07-12
Grey Plover,1,#e8a87c,Kenya,KEN,Africa,nonbreeding,Non-breeding,1.536,3.044,98,2023-03-08
Grey Plover,1,#e8a87c,Kenya,KEN,Africa,postbreeding_migration,Post-breeding Migration,0.565,1.576,140,2023-11-29
Grey Plover,1,#e8a87c,Kenya,KEN,Africa,prebreeding_migration,Pre-breeding Migration,0.715,2.371,91,2023-03-15
Grey Plover,1,#e8a87c,Cambodia,KHM,Asia,nonbreeding,Non-breeding,0.117,0.192,98,2023-02-08
Grey Plover,1,#e8a87c,Cambodia,KHM,Asia,postbreeding_migration,Post-breeding Migration,0.06,0.154,91,2023-11-29
Grey Plover,1,#e8a87c,Cambodia,KHM,Asia,prebreeding_migration,Pre-breeding Migration,0.034,0.083,49,2023-03-15
Grey Plover,1,#e8a87c,South Korea,KOR,Asia,nonbreeding,Non-breeding,4.407,9.034,98,2023-01-18
Grey Plover,1,#e8a87c,South Korea,KOR,Asia,postbreeding_migration,Post-breeding Migration,6.678,12.851,140,2023-08-30
Grey Plover,1,#e8a87c,South Korea,KOR,Asia,prebreeding_migration,Pre-breeding Migration,8.171,12.127,91,2023-03-29
Grey Plover,1,#e8a87c,Kuwait,KWT,Asia,breeding,Breeding,0.097,0.147,21,2023-06-14
Grey Plover,1,#e8a87c,Kuwait,KWT,Asia,nonbreeding,Non-breeding,0.123,0.193,98,2023-01-04
Grey Plover,1,#e8a87c,Kuwait,KWT,Asia,postbreeding_migration,Post-breeding Migration,0.046,0.106,140,2023-11-29
Grey Plover,1,#e8a87c,Kuwait,KWT,Asia,prebreeding_migration,Pre-breeding Migration,0.066,0.106,91,2023-04-05
Grey Plover,1,#e8a87c,Sri Lanka,LKA,Asia,nonbreeding,Non-breeding,0.24,0.568,98,2023-02-15
Grey Plover,1,#e8a87c,Sri Lanka,LKA,Asia,postbreeding_migration,Post-breeding Migration,0.046,0.14,91,2023-11-01
Grey Plover,1,#e8a87c,Sri Lanka,LKA,Asia,prebreeding_migration,Pre-breeding Migration,0.096,0.198,63,2023-03-15
